Date;Town;Articlegroup;CustomerName;CustomerNo;Article;UnitPrice;Quantity;Amount;intArticleRow;intCustomerRow
2012-06-24;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2013-11-11;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2013-05-26;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2013-06-22;Kairo;Software;Inter Trade Inc.;10006;Office Suite;789;1;789;8;7
2013-10-17;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2013-03-22;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2010-02-04;Tokio;Shipping;Dr. Foo;10003;Shipping Normal;7,99;1;7,99;9;4
2011-08-28;Kairo;Hardware;Inter Trade Inc.;10006;Tablet PC No. 1;499;1;499;3;7
2012-06-15;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2011-08-30;Tokio;Software;Dr. Foo;10003;PC Operating System;89;1;89;7;4
2012-11-15;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2013-03-19;New York;Software;Amce Ldt.;10004;Server Operating System ;329;1;329;6;5
2011-07-12;London;Software;HAL Inc.;10002;Office Suite;789;1;789;8;3
2011-08-15;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2011-02-22;Tokio;Software;Dr. Foo;10003;Server Operating System ;329;1;329;6;4
2012-03-07;New York;Software;Amce Ldt.;10004;Office Suite;789;1;789;8;5
2011-10-22;Rom;Software;Taders Ldt.;10008;PC Operating System;89;1;89;7;9
2012-11-26;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2012-12-18;Rom;Shipping;Taders Ldt.;10008;Shipping Express;11,99;1;11,99;10;9
2013-09-09;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2010-03-14;Paris;Hardware;Webstores Co.;10007;Desktop CPU 8 Core;249;1;249;5;8
2013-04-06;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2011-06-28;Tokio;Hardware;Dr. Foo;10003;Desktop CPU 8 Core;249;1;249;5;4
2013-03-09;Dublin;Software;Billing Service Co.;10005;Office Suite;789;1;789;8;6
2011-03-03;Berlin;Hardware;LCD Consulting;10001;Tablet PC No. 1;499;1;499;3;2
2012-01-21;Berlin;Hardware;LCD Consulting;10001;Server CPU 16 Cores;649;1;649;4;2
2011-05-03;Kairo;Software;Inter Trade Inc.;10006;Server Operating System ;329;1;329;6;7
2013-03-06;Rom;Shipping;Taders Ldt.;10008;Shipping until 12h;19,99;1;19,99;11;9
2011-05-28;Berlin;Shipping;LCD Consulting;10001;Shipping until 12h;19,99;1;19,99;11;2
2011-08-17;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2011-06-20;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2011-09-08;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2011-11-26;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2010-09-04;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2011-10-12;New York;Shipping;Amce Ldt.;10004;Shipping Express;11,99;1;11,99;10;5
2011-03-22;Kairo;Software;Inter Trade Inc.;10006;Server Operating System ;329;1;329;6;7
2010-05-18;Paris;Hardware;Webstores Co.;10007;Desktop CPU 8 Core;249;1;249;5;8
2011-09-06;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2010-10-23;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2011-05-14;Dublin;Software;Billing Service Co.;10005;Server Operating System ;329;1;329;6;6
2013-11-03;Tokio;Hardware;Dr. Foo;10003;Server CPU 16 Cores;649;1;649;4;4
2012-08-19;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2011-06-17;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2012-03-10;Rom;Software;Taders Ldt.;10008;Office Suite;789;1;789;8;9
2011-11-20;Tokio;Software;Dr. Foo;10003;Server Operating System ;329;1;329;6;4
2011-06-01;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2012-12-22;Rom;Shipping;Taders Ldt.;10008;Shipping until 12h;19,99;1;19,99;11;9
2011-09-26;Paris;Software;Webstores Co.;10007;Office Suite;789;1;789;8;8
2012-02-19;Rom;Hardware;Taders Ldt.;10008;PC Mouse USB;9,99;1;9,99;2;9
2011-02-28;Tokio;Shipping;Dr. Foo;10003;Shipping until 12h;19,99;1;19,99;11;4
2013-03-23;London;Software;HAL Inc.;10002;Office Suite;789;1;789;8;3
2012-12-22;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2011-07-08;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2011-07-10;Tokio;Shipping;Dr. Foo;10003;Shipping Normal;7,99;1;7,99;9;4
2012-11-26;New York;Software;Amce Ldt.;10004;Server Operating System ;329;1;329;6;5
2011-05-29;Tokio;Hardware;Dr. Foo;10003;PC Mouse USB;9,99;1;9,99;2;4
2012-09-20;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2011-06-22;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2011-05-16;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2012-04-15;Kairo;Hardware;Inter Trade Inc.;10006;PC Mouse USB;9,99;1;9,99;2;7
2012-07-13;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2011-09-25;Paris;Shipping;Webstores Co.;10007;Shipping Express;11,99;1;11,99;10;8
2010-06-17;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2012-11-28;London;Software;HAL Inc.;10002;Server Operating System ;329;1;329;6;3
2012-02-11;Kairo;Software;Inter Trade Inc.;10006;Office Suite;789;1;789;8;7
2010-11-04;Paris;Hardware;Webstores Co.;10007;Desktop CPU 8 Core;249;1;249;5;8
2011-02-03;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2012-06-22;Kairo;Hardware;Inter Trade Inc.;10006;PC Mouse USB;9,99;1;9,99;2;7
2010-02-12;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2010-07-11;Tokio;Shipping;Dr. Foo;10003;Shipping Express;11,99;1;11,99;10;4
2011-05-22;Berlin;Software;LCD Consulting;10001;Office Suite;789;1;789;8;2
2012-03-19;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2012-09-04;Dublin;Hardware;Billing Service Co.;10005;Server CPU 16 Cores;649;1;649;4;6
2012-03-06;Rom;Hardware;Taders Ldt.;10008;Server CPU 16 Cores;649;1;649;4;9
2010-11-28;Kairo;Hardware;Inter Trade Inc.;10006;Desktop CPU 8 Core;249;1;249;5;7
2011-03-02;New York;Hardware;Amce Ldt.;10004;Tablet PC No. 1;499;1;499;3;5
2012-07-24;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2012-11-26;Dublin;Software;Billing Service Co.;10005;Office Suite;789;1;789;8;6
2012-07-04;Dublin;Software;Billing Service Co.;10005;WebServer;99,99;1;99,99;12;6
2011-02-12;Rom;Software;Taders Ldt.;10008;PC Operating System;89;1;89;7;9
2013-03-14;Tokio;Hardware;Dr. Foo;10003;Tablet PC No. 1;499;1;499;3;4
2012-03-09;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Normal;7,99;1;7,99;9;7
2010-07-16;Tokio;Software;Dr. Foo;10003;Server Operating System ;329;1;329;6;4
2011-10-22;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2011-03-19;London;Software;HAL Inc.;10002;WebServer;99,99;1;99,99;12;3
2011-12-23;Berlin;Shipping;LCD Consulting;10001;Shipping until 12h;19,99;1;19,99;11;2
2012-11-09;Dublin;Hardware;Billing Service Co.;10005;Desktop CPU 8 Core;249;1;249;5;6
2012-09-29;Rom;Shipping;Taders Ldt.;10008;Shipping until 12h;19,99;1;19,99;11;9
2011-01-07;Rom;Software;Taders Ldt.;10008;Office Suite;789;1;789;8;9
2010-08-14;Berlin;Shipping;LCD Consulting;10001;Shipping Normal;7,99;1;7,99;9;2
2012-05-22;London;Software;HAL Inc.;10002;Server Operating System ;329;1;329;6;3
2011-12-04;Tokio;Hardware;Dr. Foo;10003;Server CPU 16 Cores;649;1;649;4;4
2012-01-29;Tokio;Software;Dr. Foo;10003;Office Suite;789;1;789;8;4
2010-05-20;Rom;Shipping;Taders Ldt.;10008;Shipping until 12h;19,99;1;19,99;11;9
2011-07-24;London;Software;HAL Inc.;10002;WebServer;99,99;1;99,99;12;3
2012-11-11;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2013-03-26;New York;Shipping;Amce Ldt.;10004;Shipping until 12h;19,99;1;19,99;11;5
2011-06-05;Dublin;Software;Billing Service Co.;10005;Office Suite;789;1;789;8;6
2011-05-07;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2011-08-03;Kairo;Software;Inter Trade Inc.;10006;Office Suite;789;1;789;8;7
2011-10-20;Kairo;Software;Inter Trade Inc.;10006;Server Operating System ;329;1;329;6;7
2011-10-23;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2010-08-26;Tokio;Hardware;Dr. Foo;10003;PC Mouse USB;9,99;1;9,99;2;4
2013-10-27;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2013-10-16;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2010-06-18;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Normal;7,99;1;7,99;9;7
2011-11-13;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2012-11-18;Kairo;Hardware;Inter Trade Inc.;10006;Desktop CPU 8 Core;249;1;249;5;7
2013-11-29;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2010-06-18;Rom;Software;Taders Ldt.;10008;PC Operating System;89;1;89;7;9
2012-07-22;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2010-05-24;Dublin;Software;Billing Service Co.;10005;Office Suite;789;1;789;8;6
2012-03-28;Rom;Software;Taders Ldt.;10008;PC Operating System;89;1;89;7;9
2011-03-29;Tokio;Shipping;Dr. Foo;10003;Shipping Normal;7,99;1;7,99;9;4
2010-06-22;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2010-06-28;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2012-10-22;New York;Software;Amce Ldt.;10004;Office Suite;789;1;789;8;5
2011-11-17;Rom;Shipping;Taders Ldt.;10008;Shipping Normal;7,99;1;7,99;9;9
2011-01-29;Dublin;Hardware;Billing Service Co.;10005;Desktop CPU 8 Core;249;1;249;5;6
2011-06-06;London;Hardware;HAL Inc.;10002;Desktop CPU 8 Core;249;1;249;5;3
2012-03-08;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2011-03-08;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2011-09-08;Paris;Hardware;Webstores Co.;10007;Desktop CPU 8 Core;249;1;249;5;8
2012-09-11;Paris;Shipping;Webstores Co.;10007;Shipping Express;11,99;1;11,99;10;8
2011-02-16;Dublin;Software;Billing Service Co.;10005;Office Suite;789;1;789;8;6
2012-03-26;Dublin;Hardware;Billing Service Co.;10005;Tablet PC No. 1;499;1;499;3;6
2013-04-06;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Normal;7,99;1;7,99;9;7
2013-02-06;Kairo;Hardware;Inter Trade Inc.;10006;Desktop CPU 8 Core;249;1;249;5;7
2012-03-14;Tokio;Software;Dr. Foo;10003;Office Suite;789;1;789;8;4
2011-02-09;Berlin;Software;LCD Consulting;10001;Server Operating System ;329;1;329;6;2
2012-06-06;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2012-07-20;Tokio;Shipping;Dr. Foo;10003;Shipping Normal;7,99;1;7,99;9;4
2012-02-26;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2013-07-01;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2010-04-13;Paris;Software;Webstores Co.;10007;WebServer;99,99;1;99,99;12;8
2012-02-09;Tokio;Software;Dr. Foo;10003;PC Operating System;89;1;89;7;4
2012-09-17;New York;Software;Amce Ldt.;10004;WebServer;99,99;1;99,99;12;5
2011-05-13;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Express;11,99;1;11,99;10;7
2011-05-23;Dublin;Software;Billing Service Co.;10005;WebServer;99,99;1;99,99;12;6
2011-03-21;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2011-03-16;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2010-09-21;London;Software;HAL Inc.;10002;Office Suite;789;1;789;8;3
2011-04-03;New York;Software;Amce Ldt.;10004;Server Operating System ;329;1;329;6;5
2011-11-22;London;Software;HAL Inc.;10002;Office Suite;789;1;789;8;3
2011-08-20;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2010-08-17;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2012-02-21;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2011-03-18;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2012-03-07;Berlin;Software;LCD Consulting;10001;Server Operating System ;329;1;329;6;2
2010-04-13;New York;Hardware;Amce Ldt.;10004;Tablet PC No. 1;499;1;499;3;5
2013-06-11;New York;Shipping;Amce Ldt.;10004;Shipping Express;11,99;1;11,99;10;5
2013-03-20;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2010-09-03;London;Software;HAL Inc.;10002;WebServer;99,99;1;99,99;12;3
2011-08-15;New York;Hardware;Amce Ldt.;10004;PC Mouse USB;9,99;1;9,99;2;5
2012-11-01;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2013-05-25;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2012-05-29;Rom;Hardware;Taders Ldt.;10008;Server CPU 16 Cores;649;1;649;4;9
2010-05-02;Dublin;Hardware;Billing Service Co.;10005;Server CPU 16 Cores;649;1;649;4;6
2011-03-24;Rom;Software;Taders Ldt.;10008;Server Operating System ;329;1;329;6;9
2010-07-06;New York;Hardware;Amce Ldt.;10004;Desktop CPU 8 Core;249;1;249;5;5
2010-10-23;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2011-02-19;Tokio;Software;Dr. Foo;10003;Office Suite;789;1;789;8;4
2013-07-16;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2012-10-04;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2013-04-10;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2012-10-28;London;Shipping;HAL Inc.;10002;Shipping until 12h;19,99;1;19,99;11;3
2011-10-26;Dublin;Hardware;Billing Service Co.;10005;PC Mouse USB;9,99;1;9,99;2;6
2010-12-27;Kairo;Software;Inter Trade Inc.;10006;Office Suite;789;1;789;8;7
2010-07-25;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2010-03-24;Dublin;Software;Billing Service Co.;10005;WebServer;99,99;1;99,99;12;6
2013-12-14;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2011-04-12;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2012-11-21;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2012-09-09;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2011-07-29;Berlin;Shipping;LCD Consulting;10001;Shipping Normal;7,99;1;7,99;9;2
2013-10-11;Berlin;Shipping;LCD Consulting;10001;Shipping Normal;7,99;1;7,99;9;2
2011-07-25;Kairo;Hardware;Inter Trade Inc.;10006;Tablet PC No. 1;499;1;499;3;7
2011-03-21;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2011-05-16;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2012-10-28;Berlin;Shipping;LCD Consulting;10001;Shipping until 12h;19,99;1;19,99;11;2
2011-05-06;Paris;Software;Webstores Co.;10007;Office Suite;789;1;789;8;8
2013-05-04;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2012-10-24;New York;Shipping;Amce Ldt.;10004;Shipping Express;11,99;1;11,99;10;5
2011-07-12;Tokio;Software;Dr. Foo;10003;WebServer;99,99;1;99,99;12;4
2013-05-01;Rom;Hardware;Taders Ldt.;10008;Server CPU 16 Cores;649;1;649;4;9
2011-10-14;Paris;Shipping;Webstores Co.;10007;Shipping Express;11,99;1;11,99;10;8
2013-10-10;Dublin;Hardware;Billing Service Co.;10005;Desktop CPU 8 Core;249;1;249;5;6
2011-05-12;Berlin;Shipping;LCD Consulting;10001;Shipping Normal;7,99;1;7,99;9;2
2012-01-01;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2013-03-17;Berlin;Hardware;LCD Consulting;10001;Desktop CPU 8 Core;249;1;249;5;2
2011-08-25;New York;Shipping;Amce Ldt.;10004;Shipping until 12h;19,99;1;19,99;11;5
2013-01-26;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2010-02-09;Kairo;Hardware;Inter Trade Inc.;10006;Desktop CPU 8 Core;249;1;249;5;7
2010-09-28;Dublin;Software;Billing Service Co.;10005;Server Operating System ;329;1;329;6;6
2010-08-27;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2012-09-08;Paris;Hardware;Webstores Co.;10007;Desktop CPU 8 Core;249;1;249;5;8
2012-07-04;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2011-12-13;Berlin;Hardware;LCD Consulting;10001;Tablet PC No. 1;499;1;499;3;2
2011-06-27;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2012-04-07;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2013-06-21;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2010-02-13;London;Software;HAL Inc.;10002;PC Operating System;89;1;89;7;3
2012-08-13;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2011-06-22;Kairo;Software;Inter Trade Inc.;10006;WebServer;99,99;1;99,99;12;7
2011-08-25;London;Hardware;HAL Inc.;10002;Desktop CPU 8 Core;249;1;249;5;3
2011-03-03;Rom;Shipping;Taders Ldt.;10008;Shipping Normal;7,99;1;7,99;9;9
2013-05-16;Rom;Hardware;Taders Ldt.;10008;Tablet PC No. 1;499;1;499;3;9
2011-11-05;New York;Hardware;Amce Ldt.;10004;Tablet PC No. 1;499;1;499;3;5
2010-04-25;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2013-06-17;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2011-03-15;Kairo;Hardware;Inter Trade Inc.;10006;Tablet PC No. 1;499;1;499;3;7
2012-11-25;Rom;Shipping;Taders Ldt.;10008;Shipping until 12h;19,99;1;19,99;11;9
2010-10-12;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2010-10-16;New York;Hardware;Amce Ldt.;10004;Tablet PC No. 1;499;1;499;3;5
2010-04-14;Berlin;Hardware;LCD Consulting;10001;Server CPU 16 Cores;649;1;649;4;2
2011-05-22;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2012-12-17;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2012-01-23;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2011-05-26;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2013-01-16;Rom;Software;Taders Ldt.;10008;Office Suite;789;1;789;8;9
2012-03-01;Paris;Hardware;Webstores Co.;10007;Desktop CPU 8 Core;249;1;249;5;8
2013-05-13;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2010-09-10;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2011-06-03;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2012-04-27;New York;Hardware;Amce Ldt.;10004;Desktop CPU 8 Core;249;1;249;5;5
2011-08-16;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2011-04-14;New York;Software;Amce Ldt.;10004;Server Operating System ;329;1;329;6;5
2011-06-18;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2010-04-15;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2011-04-08;Kairo;Hardware;Inter Trade Inc.;10006;Desktop CPU 8 Core;249;1;249;5;7
2011-08-16;London;Hardware;HAL Inc.;10002;PC Mouse USB;9,99;1;9,99;2;3
2013-05-01;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2011-10-24;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2012-11-21;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2013-07-24;New York;Hardware;Amce Ldt.;10004;Desktop CPU 8 Core;249;1;249;5;5
2010-12-24;Kairo;Software;Inter Trade Inc.;10006;WebServer;99,99;1;99,99;12;7
2011-10-10;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2013-09-29;London;Hardware;HAL Inc.;10002;Desktop CPU 8 Core;249;1;249;5;3
2011-07-22;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2012-05-29;New York;Software;Amce Ldt.;10004;Office Suite;789;1;789;8;5
2012-11-20;Tokio;Hardware;Dr. Foo;10003;Tablet PC No. 1;499;1;499;3;4
2013-05-03;Tokio;Software;Dr. Foo;10003;Office Suite;789;1;789;8;4
2013-03-21;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2012-02-14;Tokio;Software;Dr. Foo;10003;Server Operating System ;329;1;329;6;4
2012-09-13;New York;Hardware;Amce Ldt.;10004;Desktop CPU 8 Core;249;1;249;5;5
2011-04-21;Paris;Shipping;Webstores Co.;10007;Shipping Express;11,99;1;11,99;10;8
2012-04-23;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2011-09-01;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2013-07-02;London;Software;HAL Inc.;10002;Server Operating System ;329;1;329;6;3
2012-04-07;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2012-03-24;Rom;Hardware;Taders Ldt.;10008;Server CPU 16 Cores;649;1;649;4;9
2012-11-11;Berlin;Software;LCD Consulting;10001;Server Operating System ;329;1;329;6;2
2012-11-02;Berlin;Hardware;LCD Consulting;10001;PC Mouse USB;9,99;1;9,99;2;2
2011-04-14;New York;Shipping;Amce Ldt.;10004;Shipping until 12h;19,99;1;19,99;11;5
2012-09-28;London;Software;HAL Inc.;10002;Server Operating System ;329;1;329;6;3
2011-10-27;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2010-06-17;Rom;Hardware;Taders Ldt.;10008;Desktop CPU 8 Core;249;1;249;5;9
2011-11-24;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Express;11,99;1;11,99;10;7
2011-07-11;New York;Software;Amce Ldt.;10004;Office Suite;789;1;789;8;5
2011-01-18;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2012-06-10;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2012-11-26;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2012-07-29;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2011-05-26;Dublin;Hardware;Billing Service Co.;10005;Tablet PC No. 1;499;1;499;3;6
2011-04-05;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2011-12-28;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2011-07-29;Berlin;Software;LCD Consulting;10001;Office Suite;789;1;789;8;2
2011-07-28;Tokio;Shipping;Dr. Foo;10003;Shipping Normal;7,99;1;7,99;9;4
2011-09-11;Berlin;Software;LCD Consulting;10001;Server Operating System ;329;1;329;6;2
2010-05-29;Kairo;Hardware;Inter Trade Inc.;10006;PC Mouse USB;9,99;1;9,99;2;7
2012-05-10;New York;Software;Amce Ldt.;10004;Office Suite;789;1;789;8;5
2012-07-08;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2012-06-21;Tokio;Software;Dr. Foo;10003;PC Operating System;89;1;89;7;4
2010-04-26;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2010-04-08;Berlin;Software;LCD Consulting;10001;PC Operating System;89;1;89;7;2
2011-01-07;London;Hardware;HAL Inc.;10002;PC Mouse USB;9,99;1;9,99;2;3
2013-03-17;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2010-11-21;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2012-10-21;Kairo;Software;Inter Trade Inc.;10006;WebServer;99,99;1;99,99;12;7
2013-04-18;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2010-09-05;Dublin;Software;Billing Service Co.;10005;Server Operating System ;329;1;329;6;6
2011-10-07;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2010-08-14;Dublin;Hardware;Billing Service Co.;10005;Tablet PC No. 1;499;1;499;3;6
2013-07-16;London;Software;HAL Inc.;10002;Server Operating System ;329;1;329;6;3
2010-04-24;Berlin;Hardware;LCD Consulting;10001;Server CPU 16 Cores;649;1;649;4;2
2012-12-30;New York;Shipping;Amce Ldt.;10004;Shipping Express;11,99;1;11,99;10;5
2010-06-06;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2012-07-04;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2013-06-20;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2011-06-07;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2011-10-17;Tokio;Software;Dr. Foo;10003;Server Operating System ;329;1;329;6;4
2012-07-16;London;Shipping;HAL Inc.;10002;Shipping until 12h;19,99;1;19,99;11;3
2012-06-05;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
